date,close,close_adjusted
2018-05-24,250.6700,220.5500
2018-05-25,250.0400,219.9957
2018-05-29,247.1500,217.4530
2018-05-30,250.4100,220.3212
2018-05-31,248.7900,218.8959
2018-06-01,251.4100,221.2011
2018-06-04,252.5200,222.1777
2018-06-05,252.8700,222.4857
2018-06-06,254.8900,224.2630
2018-06-07,254.7700,224.1573
2018-06-08,255.5700,224.8613
2018-06-11,255.9000,225.1515
2018-06-12,256.3300,225.5299
2018-06-13,255.3100,224.6324
2018-06-14,256.0500,225.2836
2018-06-15,255.8300,225.0900
2018-06-18,255.2200,224.5533
2018-06-19,254.2500,223.6998
2018-06-20,254.7100,224.1046
2018-06-21,253.1200,222.7056
2018-06-22,253.5700,223.1015
2018-06-25,250.0600,220.0133
2018-06-26,250.6100,220.4972
2018-06-27,248.5300,218.6671
2018-06-28,248.8800,219.9993
2018-06-29,249.5100,220.5562
2018-07-02,249.8000,220.8125
2018-07-03,248.7900,219.9197
2018-07-05,250.9200,221.8025
2018-07-06,253.0100,223.6500
2018-07-09,255.2500,225.6301
2018-07-10,256.1400,226.4168
2018-07-11,254.3900,224.8699
2018-07-12,256.5700,226.7969
2018-07-13,256.7900,226.9914
2018-07-16,256.6300,226.8499
2018-07-17,257.7300,227.8223
2018-07-18,258.2000,228.2378
2018-07-19,257.2200,227.3715
2018-07-20,256.9800,227.1593
2018-07-23,257.4700,227.5925
2018-07-24,258.6800,228.6621
2018-07-25,261.0500,230.7570
2018-07-26,260.2800,230.0764
2018-07-27,258.5900,228.5824
2018-07-30,257.1000,227.2654
2018-07-31,258.4000,228.4145
2018-08-01,258.0800,228.1317
2018-08-02,259.3900,229.2897
2018-08-03,260.6600,230.4123
2018-08-06,261.6400,231.2786
2018-08-07,262.3700,231.9239
2018-08-08,262.2300,231.8001
2018-08-09,261.9000,231.5084
2018-08-10,260.1200,229.9349
2018-08-13,259.1400,229.0687
2018-08-14,260.8100,230.5449
2018-08-15,258.8900,228.8477
2018-08-16,260.9900,230.7040
2018-08-17,261.8600,231.4730
2018-08-20,262.4400,231.9857
2018-08-21,263.0100,232.4896
2018-08-22,262.9300,232.4188
2018-08-23,262.5500,232.0830
2018-08-24,264.2000,233.5415
2018-08-27,266.1900,235.3006
2018-08-28,266.3400,235.4332
2018-08-29,267.8000,236.7237
2018-08-30,266.7100,235.7602
2018-08-31,266.7200,235.7691
2018-09-04,266.3500,235.4420
2018-09-05,265.6000,234.7791
2018-09-06,264.8200,234.0896
2018-09-07,264.1800,233.5238
2018-09-10,264.6800,233.9658
2018-09-11,265.6800,234.8497
2018-09-12,265.7100,234.8762
2018-09-13,267.2200,236.2110
2018-09-14,267.3600,236.3347
2018-09-17,265.8500,235.0000
2018-09-18,267.3000,236.2817
2018-09-19,267.6000,236.5469
2018-09-20,269.7500,238.4474
2018-09-21,269.5600,238.2795
2018-09-24,268.6600,237.4839
2018-09-25,268.3300,237.1923
